 ,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
13,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.09883,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
13,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.001365,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
14,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.019895,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
14,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.000788,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
15,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.029103,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
15,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.000844,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
16,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.055055,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
16,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.000975,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
17,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.068202,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
17,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.001104,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
18,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.041244,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
18,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.001022,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
19,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.109074,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
19,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.001267,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
20,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.026048,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
20,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.000874,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
21,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.089034,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
21,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.001164,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
22,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.048029,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
22,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.000921,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
23,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.080886,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
23,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.001152,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
24,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.076072,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
24,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.001121,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
25,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.026048,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
25,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.000874,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
26,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.08221,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
26,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.001117,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
27,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,body mass,0.036819,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
27,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,gulosa,,brain size,0.000967,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
28,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigrocincta,,body mass,0.019483,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
28,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigrocincta,,brain size,0.000568,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
29,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigrocincta,,body mass,0.016239,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
29,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigrocincta,,brain size,0.000577,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",immunostaining and microscopy,
30,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia,nigrocincta,,body mass,0.016906,g,,,,,204,"Sheehan et al., 2019",2019,"Sheehan, Z.B.V., Kamhi, J.F., Seid, M.A. & Narendra, A. (2019). Differential investment in brain regions for a diurnal and nocturnal lifestyle in Australian Myrmecia ants. Journal of Comparative Neurology, 527, 1261-1277.",,
